"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.240620840E-1,4.581354442E-4,2.748812549E-3,4.581354442E-4,2.824136434E-3
2.263651570E-1,4.581354442E-4,2.748812549E-3,1.679830020E-3,3.253872679E-3
2.286682300E-1,-7.635590737E-4,3.054236295E-4,4.581354442E-4,9.413788492E-4
2.309713030E-1,-7.635590737E-4,-9.162708884E-4,-7.635590737E-4,1.416191110E-3
2.332743760E-1,-7.635590737E-4,-9.162708884E-4,-7.635590737E-4,1.416191110E-3
2.355774480E-1,1.679830020E-3,-9.162708884E-4,-3.206948051E-3,3.734420576E-3
2.378805210E-1,4.581354442E-4,-9.162708884E-4,-1.985253533E-3,2.233981204E-3
2.401835940E-1,4.581354442E-4,-9.162708884E-4,-1.985253533E-3,2.233981204E-3
2.424866670E-1,4.581354442E-4,-9.162708884E-4,-7.635590737E-4,1.277678710E-3
2.447897400E-1,1.679830020E-3,3.054236295E-4,-1.985253533E-3,2.618462160E-3
2.470928130E-1,1.679830020E-3,-9.162708884E-4,-7.635590737E-4,2.060195063E-3
2.493958860E-1,2.901524538E-3,-9.162708884E-4,4.581354442E-4,3.077057860E-3
2.516990110E-1,1.679830020E-3,-2.137965523E-3,-7.635590737E-4,2.824136670E-3
2.540020320E-1,1.679830020E-3,-3.359660041E-3,4.581354442E-4,3.784049758E-3
2.563051570E-1,2.901524538E-3,-3.359660041E-3,1.679830020E-3,4.746365887E-3
2.586082300E-1,1.679830020E-3,-3.359660041E-3,1.679830020E-3,4.114726404E-3
2.609112510E-1,2.901524538E-3,-2.137965523E-3,1.679830020E-3,3.976376506E-3
2.632143230E-1,2.901524538E-3,-9.162708884E-4,-7.635590737E-4,3.137103671E-3
2.655174480E-1,2.901524538E-3,-2.137965523E-3,4.581354442E-4,3.633129410E-3
2.678205210E-1,2.901524538E-3,-4.581354558E-3,4.581354442E-4,5.442200136E-3
2.701235940E-1,1.679830020E-3,-9.162708884E-4,4.581354442E-4,1.967554147E-3
2.724266670E-1,1.679830020E-3,3.054236295E-4,1.679830020E-3,2.395191305E-3
2.747297400E-1,1.679830020E-3,-9.162708884E-4,1.679830020E-3,2.546214864E-3
2.770328130E-1,-7.635590737E-4,-2.137965523E-3,1.679830020E-3,2.824136670E-3
2.793358860E-1,4.581354442E-4,3.054236295E-4,1.679830020E-3,1.767767116E-3
2.816389590E-1,4.581354442E-4,3.054236295E-4,2.901524538E-3,2.953305999E-3
2.839420320E-1,-2.137965523E-3,-3.206948051E-3,2.901524538E-3,4.824340061E-3
2.862451050E-1,1.679830020E-3,-3.359660041E-3,1.679830020E-3,4.114726404E-3
2.885481780E-1,1.679830020E-3,-3.206948051E-3,4.123218823E-3,5.487009948E-3
2.908512510E-1,1.679830020E-3,-4.428642802E-3,4.123218823E-3,6.279780205E-3
2.931543230E-1,2.901524538E-3,-9.162708884E-4,4.123218823E-3,5.124385861E-3
2.954573960E-1,4.123218823E-3,3.970507067E-3,6.719320081E-3,8.826954298E-3
2.977604690E-1,4.123218823E-3,6.413896102E-3,1.160609815E-2,1.388670267E-2
3.000635420E-1,2.901524538E-3,7.635590620E-3,1.282779220E-2,1.520767377E-2
3.023666150E-1,4.581354442E-4,5.344913341E-3,1.160609815E-2,1.278591025E-2
3.046696880E-1,2.901524538E-3,3.970507067E-3,9.162709117E-3,1.039899079E-2
3.069727610E-1,2.901524538E-3,2.748812549E-3,6.719320081E-3,7.818188884E-3
3.092758340E-1,6.719320081E-3,2.748812549E-3,4.275931045E-3,8.425486282E-3
